,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
115,115,hHBB_-423.7 kcal_hHBB,5mC,3.0,6,6,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03662109 -0.03662109 -0.04944476 ... -0.01906742 -0.00607244
  0.01246802]","[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 245 278 371 402],[ 7.215985   12.89150196  6.58995226  9.04971857  8.60995472],[110 245 402],[ 7.215985   12.89150196  8.60995472],[ 23.46689634 237.08650434 888.77298677],[121.84629019 102.356068    88.889532  ],[15.22023568 38.889721   38.738034  ],[106.62605451  63.466347    50.151498  ],632.6791782809997,0.790206154452217,0.25222665982709
116,116,hHBB_-423.7 kcal_hHBB,5mC,4.0,6,7,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.09171677 0.09171677 0.09171677 ... 0.06147344 0.05503329 0.05950543],"[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 244 277 371 402],[ 7.1133302  14.34355151  6.420001    8.95710127  8.06692851],[110 244 402],[ 7.1133302  14.34355151  8.06692851],[ 23.46689634 234.42344415 888.77298677],[115.16698472 100.882427    63.789882  ],[11.43798896 44.77965    29.003175  ],[103.72899576  56.102777    34.786707  ],577.3993822455,0.6200532105567607,0.19791537857890995
117,117,hHBB_-423.7 kcal_hHBB,5mC,5.0,6,8,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01483917 -0.01483917 -0.01483917 ...  0.1121717   0.1128012
  0.1232038 ]","[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 244 278 331 371 402],[ 7.16758022 14.15724938  6.2886584  11.46828445  9.53599127  8.11826967],[110 244 402],[ 7.16758022 14.15724938  8.11826967],[ 23.46689634 234.42344415 888.77298677],[117.46246013 106.94895     49.486689  ],[15.43448224 49.45545    27.752166  ],[102.02797789  57.4935      21.734523  ],599.6491878430003,0.37803443867567665,0.12066517481488506
118,118,hHBB_-423.7 kcal_hHBB,5mC,18.0,6,9,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0677681  0.0677681  0.0677681  ... 0.07304696 0.09803225 0.104025  ],"[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 244],[ 7.27632305 15.03115547],[110 244 402],[ 7.16758022 14.15724938  8.11826967],[ 23.46689634 234.42344415 888.77298677],[117.2468271 115.797436    9.8268642],[16.5776216 61.584405   8.972991 ],[100.6692055  54.213031    0.8538732],572.4965400379998,0.015750331317944597,0.0050273633495667705
119,119,hHBB_-423.7 kcal_hHBB,5mC,24.0,6,10,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04169083 0.04169083 0.04169083 ... 0.03375224 0.04787777 0.05532222],"[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 209 243],[ 7.25272619  9.71055251 16.57071852],[110 244 402],[ 7.16758022 14.15724938  8.11826967],[ 23.46689634 234.42344415 888.77298677],[118.0206924 147.419703    9.1410423],[ 9.5902368 79.79235    8.2470492],[108.4304556  67.627353    0.8939931],700.1398630659996,0.013219401031414044,0.004219513285592835
120,120,hHBB_-423.7 kcal_hHBB,PSU,0.0,13,1,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05057347 -0.0368187  -0.02764959 ...  0.06742477  0.06742477
  0.06742477]","[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 267 400],[8.02838196 7.36950247 6.42078246],[110 267 400],[8.02838196 7.36950247 6.42078246],[ 23.45635273 299.99837559 870.94810419],[148.3428632  57.023817  157.1671056],[22.43620242 23.11524    32.5914652 ],[125.90666078  33.908577   124.5756404 ],531.4319689499999,3.6738681307682124,1.0
121,121,hHBB_-423.7 kcal_hHBB,PSU,0.5,13,2,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05644171 -0.04758408 -0.03820994 ...  0.1831055   0.1831055
  0.1831055 ]","[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 267 400],[8.20474842 7.54660522 6.7051594 ],[110 267 400],[8.20474842 7.54660522 6.7051594 ],[ 23.45635273 299.99837559 870.94810419],[149.36147333  39.3456833   92.2302391 ],[19.40580936 17.5507696  25.3540917 ],[129.95566397  21.7949137   66.8761474 ],427.2180168600005,3.068429098666264,0.8352039293322839
122,122,hHBB_-423.7 kcal_hHBB,PSU,1.0,13,3,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03643688 -0.04805622 -0.05770051 ...  0.09064484  0.09064484
  0.09064484]","[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 268 401],[8.26186087 7.53874501 6.71654477],[110 268 401],[8.26186087 7.53874501 6.71654477],[ 23.45635273 302.99425527 876.66166507],[149.55155195  52.859797   120.714241  ],[25.35176871 23.062016   31.648015  ],[124.19978324  29.797781    89.066226  ],522.2838731399999,2.9890221020149124,0.8135899263727526
123,123,hHBB_-423.7 kcal_hHBB,PSU,1.5,13,4,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.01924133 0.02452699 0.02890473 ... 0.2404099  0.2404099  0.2404099 ],"[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 268 402],[8.23274784 7.48622597 7.06490852],[110 268 402],[8.23274784 7.48622597 7.06490852],[ 23.45635273 302.99425527 882.39787056],[151.35875049  43.534087    96.151163  ],[27.7566111 20.180328  26.640616 ],[123.60213939  23.353759    69.510547  ],472.6748970000001,2.976417929122244,0.8101591628167312
124,124,hHBB_-423.7 kcal_hHBB,PSU,2.0,13,5,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00399137 -0.02150152 -0.03703571 ... -0.1304779  -0.1304779
 -0.1304779 ]","[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 268 401],[8.25816705 7.28788188 6.79241062],[110 268 401],[8.25816705 7.28788188 6.79241062],[ 23.45635273 302.99425527 876.66166507],[146.1040558  52.238813  104.991858 ],[24.187446 22.3906   30.864204],[121.9166098  29.848213   74.127654 ],483.51627486990014,2.4834871688968443,0.6759870198110629
125,125,hHBB_-423.7 kcal_hHBB,PSU,3.0,13,6,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.01524376 0.02162683 0.02063265 ... 0.2314034  0.2314034  0.2314034 ],"[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 267 401],[8.31628255 7.74538565 7.2981781 ],[110 267 401],[8.31628255 7.74538565 7.2981781 ],[ 23.45635273 299.99837559 876.66166507],[151.05487558  47.895447    89.309914  ],[22.78680921 23.458104   27.569216  ],[128.26806637  24.437343    61.740698  ],497.16934909800005,2.5264898070137978,0.6876920229811037
126,126,hHBB_-423.7 kcal_hHBB,PSU,4.0,13,7,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.0850029  -0.03776493  0.01166069 ... -0.03417206 -0.03417206
 -0.03417206]","[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 268 401],[8.28006777 8.00436338 7.49275183],[110 268 401],[8.28006777 8.00436338 7.49275183],[ 23.45635273 302.99425527 876.66166507],[138.7692002  53.701991   82.071386 ],[21.9817449 26.664696  26.957248 ],[116.7874553  27.037295   55.114138 ],519.2708782800004,2.0384486687740035,0.5548507992712739
127,127,hHBB_-423.7 kcal_hHBB,PSU,5.0,13,8,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1266112  -0.1040009  -0.08644265 ... -0.01750183 -0.01750183
 -0.01750183]","[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 244 403],[ 8.38482328 12.11233883  8.37695326],[110 244 403],[ 8.38482328 12.11233883  8.37695326],[ 23.45635273 235.96287838 888.15674959],[140.52709667  38.3401607   38.4053016 ],[23.50793421 18.508243   13.157919  ],[117.01916246  19.8319177   25.2473826 ],342.44962485039997,1.273068141060308,0.34651982481312066
128,128,hHBB_-423.7 kcal_hHBB,PSU,18.0,13,9,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.06909121 0.09847392 0.1198065  ... 0.02047729 0.02047729 0.02047729],"[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 242],[ 8.23365783 13.27769462],[110 244 403],[ 8.38482328 12.11233883  8.37695326],[ 23.45635273 235.96287838 888.15674959],[143.14367752  73.401911    17.100906  ],[16.29034111 39.544986   11.6657712 ],[126.85333641  33.856925     5.4351348 ],482.98340369999977,0.16053244055684338,0.043695754676767826
129,129,hHBB_-423.7 kcal_hHBB,PSU,24.0,13,10,nts-Eukaryote Total RNA Nano_2020-10-22_12-33-14_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1530252 -0.1456126 -0.1553749 ...  0.3022728  0.3022728  0.3022728],"[-7.35073784e+00 -7.40112673e+00 -7.44771201e+00 ...  1.01674306e+04
  1.01899859e+04  1.02125633e+04]",[110 242],[ 8.2231083 15.1509167],[110 244 403],[ 8.38482328 12.11233883  8.37695326],[ 23.45635273 235.96287838 888.15674959],[139.35472619  92.329632    14.005251  ],[14.1084666 54.055287   9.5292414],[125.24625959  38.274345     4.4760096 ],579.2514617999998,0.1169454264991341,0.03183168865527043
